result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,Elo_ranking_dif,Elo_rating_dif,goal_balance_dif,goal_dif_predicted
lose,3.23,3.26,-10.939999999999998,-5.879999999999996,-11.810000000000002,-10.439999999999998,26.0,-304.0,49,-277,-0.3998897599216071,-1.8924367809518692
draw,3.65,1.63,-0.5300000000000011,-0.5300000000000011,1.7999999999999972,0.5999999999999943,4.0,-78.0,18,-105,-0.4700024755711199,-0.6888956924789681
lose,3.12,1.44,4.5,5.5,6.439999999999998,6.439999999999998,-5.0,17.0,59,-230,0.3391764705882353,-2.280675841749579
lose,3.75,7.67,-9.939999999999998,-9.329999999999998,-10.439999999999998,-8.439999999999998,51.0,-185.0,48,-303,-0.15342163355408392,-1.8536128748720981
win,3.33,-2.16,2.4200000000000017,4.849999999999994,1.9399999999999975,0.75,-8.0,153.0,-10,151,0.7654211983222814,0.39817367775461987
win,5.53,-8.95,8.530000000000001,7.739999999999995,6.049999999999998,7.469999999999999,-16.0,352.0,-33,340,0.7707224798633147,1.291123517589353
lose,3.27,-1.99,4.409999999999997,6.239999999999995,4.299999999999997,4.849999999999994,-13.0,300.0,3,-10,0.0714718790152079,-0.10653710128240308
lose,3.22,-0.8600000000000003,-1.2999999999999972,2.299999999999997,-2.0600000000000023,-1.75,2.0,-91.0,1,-75,-0.2465828307288792,-0.02888928912286108
draw,5.27,-9.99,11.86,13.239999999999995,9.879999999999997,10.14,-18.0,389.0,-33,246,1.3133809520609772,1.291123517589353
win,8.65,-19.38,7.530000000000001,3.7399999999999953,8.049999999999997,7.469999999999999,-30.0,524.0,-42,378,-0.2342764427826669,1.640538672307292
win,3.69,-4.49,5.5900000000000025,7.459999999999994,4.879999999999996,4.469999999999999,-9.0,135.0,-6,146,0.02515824521605503,0.24287805343553592
win,4.08,-8.02,5.5900000000000025,7.459999999999994,4.879999999999996,4.469999999999999,-1.0,5.0,-14,162,0.026649816783596125,0.5534693020737039
win,4.38,-7.23,5.030000000000001,6.239999999999995,9.549999999999997,4.469999999999999,-14.0,126.0,-45,339,0.36016405887562736,1.757010390546605
win,3.85,-6.05,11.03,12.839999999999991,10.849999999999996,10.670000000000002,-44.0,448.0,-25,251,-0.16139173901604842,0.980532268951185
win,4.17,-4.7200000000000015,5.5900000000000025,9.86,5.239999999999995,3.030000000000001,-5.0,138.0,-19,258,1.1205644349939907,0.7475888324725589
win,3.15,-0.2999999999999998,-3.8299999999999983,-3.4399999999999977,-5.8900000000000015,-6.719999999999999,33.0,-104.0,-10,34,0.6545719973457199,0.39817367775461987
lose,6.55,12.0,-8.829999999999998,-9.909999999999997,-9.180000000000009,-9.599999999999994,49.0,-535.0,45,-377,0.1296164772727273,-1.7371411566327852
lose,3.51,0.4199999999999999,0.5700000000000074,-1.539999999999992,0.4099999999999966,-0.21999999999999886,27.0,-365.0,19,-120,1.0796974522292992,-0.7277195985587391
win,3.55,2.4,-5.5,-7.1099999999999985,-6.219999999999999,-5.049999999999997,2.0,-59.0,-5,33,0.3881678745996966,0.2040541473557649
lose,5.22,6.1800000000000015,-12.439999999999998,-11.5,-13.329999999999998,-13.549999999999995,57.0,-936.0,41,-301,-0.1411345108695652,-1.581845532313701
lose,3.27,2.6,-3.1800000000000064,-3.5,-2.9300000000000064,-0.3800000000000097,84.0,-763.0,30,-160,-0.1485493230174082,-1.15478256543622
lose,4.49,7.13,-8.89,-7.439999999999998,-9.290000000000006,-6.980000000000004,89.0,-939.0,32,-244,-0.4370724645174635,-1.2324303775957621
lose,3.65,-4.59,3.759999999999991,4.590000000000003,3.879999999999996,5.059999999999988,-10.0,146.0,7,-20,-0.06784260515603803,-0.26183272560148707
win,3.59,-3.69,4.939999999999999,5.0,-0.18000000000000682,8.239999999999995,-42.0,169.0,-17,99,0.6338142977607045,0.6699410203130169
draw,3.28,1.0999999999999996,-0.8400000000000034,-2.890000000000001,0.4299999999999926,1.9099999999999968,72.0,-496.0,7,-29,0.2802575744087361,-0.26183272560148707
win,5.26,-8.82,3.1099999999999994,2.890000000000001,1.1099999999999994,2.719999999999999,-15.0,306.0,-30,225,-0.2915010757655258,1.1746517993500398
win,3.79,-1.0500000000000005,-2.3299999999999983,-3.61,-2.450000000000003,-2.3400000000000034,-10.0,278.0,-4,75,-1.184007844535568,0.16523024127599392
lose,3.0,-0.3500000000000001,-2.5400000000000063,-2.3499999999999943,-2.5400000000000063,-2.9300000000000064,-14.0,503.0,6,-37,-0.6229513351072984,-0.22300881952171608
lose,3.16,1.04,-2.5400000000000063,-2.3499999999999943,-2.5400000000000063,-2.9300000000000064,-9.0,155.0,-3,44,-0.5477164120642382,0.1264063351962229
win,4.72,-7.51,4.1099999999999985,4.8900000000000015,2.1099999999999994,2.719999999999999,-52.0,727.0,-33,304,-0.3469064399383539,1.291123517589353
win,6.75,-16.41,12.11,11.89,9.11,10.72,-50.0,689.0,-62,467,0.5394471712735727,2.417016793902712
win,3.34,-0.6800000000000002,-1.8299999999999983,-2.4399999999999977,-2.3299999999999983,-1.7199999999999989,-4.0,118.0,-4,102,-0.32473520249221177,0.16523024127599392
win,3.35,-3.1500000000000004,5.579999999999997,6.709999999999994,5.519999999999996,4.900000000000006,-30.0,684.0,-8,105,0.3710526583152997,0.3205258655950779
win,3.34,-1.21,2.5799999999999983,2.3599999999999994,2.9099999999999966,3.3199999999999936,-11.0,228.0,-12,120,-0.7615035513366457,0.47582148991416195
win,5.15,-10.45,9.11,10.39,9.11,7.719999999999999,-22.0,410.0,-45,385,-0.13601333256266496,1.757010390546605
win,3.39,-1.93,5.719999999999999,5.8900000000000015,5.439999999999998,6.219999999999999,-3.0,79.0,-7,86,0.03278289918809202,0.28170195951530697
win,3.53,-0.98,-1.0,-4.0,2.0,0.0,-14.0,172.0,-9,38,-1.0049989226459817,0.35934977167484894
win,5.0,-9.8,10.5,11.61,10.11,12.939999999999998,-47.0,229.0,-29,318,0.21299775962997747,1.135827893270269
lose,3.43,-1.6100000000000003,2.5600000000000023,3.280000000000001,2.1099999999999994,3.5,-3.0,158.0,-2,101,1.1151228441052874,0.08758242911645192
win,9.35,-19.68,8.36,8.61,8.409999999999998,9.47,-40.0,486.0,-48,398,0.8835793694186258,1.873482108785918
draw,4.42,-4.64,6.070000000000008,5.969999999999999,4.219999999999999,8.719999999999999,-5.0,97.0,-4,79,1.2815758561489112,0.16523024127599392
win,3.92,-5.15,6.070000000000008,5.969999999999999,4.219999999999999,8.719999999999999,-13.0,613.0,-6,201,1.324806783801428,0.24287805343553592
win,3.75,-2.93,4.769999999999996,3.969999999999999,3.620000000000005,6.319999999999991,6.0,-98.0,-2,23,1.2257438145944253,0.08758242911645192
win,6.69,-17.59,9.670000000000002,10.170000000000002,8.219999999999999,8.219999999999999,-24.0,652.0,-39,412,0.6282756770936185,1.524066954067979
win,5.16,-9.94,4.549999999999997,4.670000000000002,4.469999999999999,7.599999999999994,-6.0,131.0,-14,217,0.5037164234024285,0.5534693020737039
win,3.5,-6.6,4.549999999999997,4.670000000000002,4.469999999999999,7.599999999999994,-19.0,138.0,-8,184,0.5191476044156139,0.3205258655950779
lose,3.25,-3.34,-0.6099999999999994,-0.10999999999999943,-1.3400000000000034,0.5,-4.0,71.0,-1,19,0.9885186040469937,0.04875852303668092
lose,3.19,-0.18000000000000016,-1.1599999999999966,0.730000000000004,-1.8900000000000008,1.0,8.0,-216.0,2,-92,0.1911370345342676,-0.06771319520263208
win,5.16,-8.99,6.670000000000003,3.6700000000000017,6.719999999999999,8.719999999999999,-49.0,231.0,-33,326,0.6161303630363036,1.291123517589353
win,3.44,-3.6000000000000005,6.670000000000003,5.570000000000007,5.420000000000003,8.420000000000002,-14.0,703.0,-32,379,0.6716177456604336,1.252299611509582
win,4.38,-6.08,5.730000000000004,5.8900000000000015,5.049999999999997,7.219999999999999,-14.0,451.0,-21,349,0.515117243119514,0.8252366446321009
draw,5.33,-8.01,5.730000000000004,5.8900000000000015,5.049999999999997,7.219999999999999,-11.0,210.0,-10,150,0.4679215808794813,0.39817367775461987
lose,3.7,-1.09,1.6700000000000017,1.7000000000000028,0.9299999999999926,3.3400000000000034,1.0,-4.0,-1,12,0.4724340175953079,0.04875852303668092
win,9.09,-27.19,17.67,17.17,17.22,17.22,-84.0,1190.0,-77,569,0.600179792523941,2.999375385099277
draw,4.38,-6.81,5.730000000000004,8.290000000000006,5.4099999999999975,5.780000000000001,-6.0,293.0,-11,214,1.500791474259442,0.4369975838343909
lose,3.9,3.71,-3.8100000000000014,-3.9399999999999977,-3.9399999999999977,-1.8700000000000043,34.0,-355.0,34,-181,-0.3798629460161973,-1.3100781897553042
lose,3.17,0.3500000000000001,-2.4699999999999993,-0.5499999999999972,-4.25,-2.75,-17.0,87.0,19,-83,-0.036640235210263716,-0.7277195985587391
lose,3.73,3.6,-6.689999999999998,-6.9099999999999975,-7.480000000000004,-6.129999999999996,8.0,-374.0,49,-456,-0.35041555204975194,-1.8924367809518692
win,4.44,-7.32,4.4299999999999935,5.6400000000000015,5.8900000000000015,4.219999999999999,-43.0,434.0,-42,310,-0.9387583158263304,1.640538672307292
lose,4.15,5.43,-8.010000000000005,-5.8599999999999985,-7.439999999999998,-9.329999999999998,14.0,-672.0,8,-222,-1.0824837020965914,-0.3006566316812581
win,3.14,-1.44,-0.3400000000000034,2.3200000000000074,1.1899999999999975,-2.9399999999999977,-3.0,31.0,-16,140,0.2733169322742615,0.6311171142332459
draw,3.12,1.89,-4.539999999999992,-4.299999999999997,-3.9600000000000084,-5.159999999999997,-2.0,31.0,-1,1,-1.2604285286185195,0.04875852303668092
win,3.25,-3.2299999999999995,2.780000000000001,4.079999999999998,3.4799999999999898,0.7800000000000011,-8.0,145.0,-39,347,0.21158165483263291,1.524066954067979
win,3.5,-1.69,1.9000000000000057,1.6000000000000083,1.7999999999999972,2.1000000000000085,-13.0,288.0,-31,329,-0.5769127995012024,1.2134757054298109
lose,3.33,-3.25,1.9000000000000057,4.200000000000003,0.5999999999999943,-0.09999999999999433,-44.0,480.0,-30,230,-0.4233271240213057,1.1746517993500398
win,3.33,-1.56,-0.4799999999999898,-1.4899999999999949,2.1599999999999966,-1.0999999999999943,-2.0,68.0,-6,111,-0.3112733509989115,0.24287805343553592
draw,3.94,2.51,-9.439999999999998,-10.5,-8.560000000000002,-7.060000000000002,18.0,-298.0,6,-58,-0.6505755668651595,-0.22300881952171608
draw,3.07,-0.3200000000000003,-2.1200000000000045,-2.1200000000000045,-1.1200000000000043,-1.1200000000000043,19.0,-312.0,-29,194,0.8916872315687066,1.135827893270269
lose,3.3,2.84,-2.780000000000001,-4.8900000000000015,-0.39000000000000057,1.6700000000000017,-1.0,5.0,26,-147,0.4886320665532236,-0.9994869411171361
lose,3.38,3.41,-4.670000000000002,-5.670000000000003,-4.329999999999998,-0.3299999999999983,-10.0,75.0,20,-84,0.10360756831476947,-0.7665435046385101
draw,3.2,-0.7200000000000002,5.950000000000002,6.939999999999998,5.6400000000000015,5.340000000000003,-28.0,91.0,-21,134,-0.30614984478563645,0.8252366446321009
draw,3.28,-1.41,1.9900000000000089,3.700000000000003,2.2800000000000007,0.3500000000000085,-31.0,161.0,-8,24,0.12311860428997913,0.3205258655950779
draw,3.24,-2.8200000000000003,1.3400000000000034,3.390000000000001,-0.3100000000000023,-0.8799999999999955,5.0,-51.0,-4,27,0.32565261435361964,0.16523024127599392
win,2.99,1.6300000000000003,-4.319999999999993,-5.0,-4.810000000000001,-6.439999999999998,2.0,1.0,3,-35,-0.5819736309229177,-0.10653710128240308
win,3.3,3.4000000000000004,-5.709999999999994,-3.9399999999999977,-6.3599999999999985,-6.599999999999994,5.0,-176.0,2,-84,-0.2885231415000553,-0.06771319520263208
lose,3.46,0.029999999999999805,1.1800000000000068,1.2199999999999989,0.5799999999999983,-0.37999999999999545,-5.0,79.0,4,-67,-0.03579484252294718,-0.14536100736217408
win,3.75,-4.3500000000000005,0.6200000000000045,0.0,5.25,-0.37999999999999545,-34.0,397.0,-32,212,0.2766360919303309,1.252299611509582
lose,3.01,-0.10000000000000007,-3.8199999999999936,-3.8299999999999983,-4.689999999999999,-5.819999999999991,11.0,-261.0,7,-44,0.3567547151420635,-0.26183272560148707
lose,3.69,7.699999999999998,-6.489999999999995,-4.560000000000001,-7.689999999999998,-8.209999999999994,7.0,-473.0,13,-270,-0.2968125999251624,-0.4947761620801131
win,3.08,3.41,-6.489999999999995,-4.560000000000001,-7.689999999999998,-8.209999999999994,15.0,-412.0,9,-93,-0.23646369233364264,-0.33948053776102904
lose,3.88,4.7799999999999985,-6.489999999999995,-4.560000000000001,-7.689999999999998,-8.209999999999994,5.0,-28.0,10,-179,-0.3766626025271559,-0.3783044438408001
draw,3.36,-2.76,0.8500000000000085,0.9000000000000057,-0.25,-0.049999999999997165,-6.0,205.0,-7,52,0.9452214452214452,0.28170195951530697
draw,3.11,2.47,-1.9900000000000089,-3.700000000000003,-2.2800000000000007,-0.3500000000000085,8.0,-98.0,23,-188,-0.2011917659804984,-0.8830152228778231
lose,3.1,1.8200000000000005,-0.6500000000000057,-0.3100000000000023,-2.5900000000000034,-1.2300000000000042,30.0,-158.0,13,-103,0.12935250993340425,-0.4947761620801131
lose,3.3,-3.39,0.12999999999999545,-4.700000000000003,-0.030000000000001137,0.769999999999996,-48.0,188.0,-23,131,0.04219291728578512,0.9028844567916429
lose,3.15,2.0,-6.520000000000009,-7.439999999999998,-7.180000000000009,-7.38000000000001,-10.0,55.0,8,-134,-0.1149697211834999,-0.3006566316812581
lose,3.17,2.46,-5.810000000000002,-7.530000000000001,-6.969999999999999,-6.170000000000003,-2.0,49.0,-6,27,0.3141928298365492,0.24287805343553592
lose,3.59,4.0600000000000005,-5.810000000000002,-7.530000000000001,-6.969999999999999,-6.170000000000003,26.0,-351.0,14,-128,0.2236855281638606,-0.5336000681598841
lose,3.6,-0.71,-1.1400000000000006,-2.799999999999997,-2.5300000000000007,-0.4000000000000057,5.0,-73.0,15,-87,0.7361372440509131,-0.5724239742396551
draw,3.4,-2.6500000000000004,4.6099999999999985,3.549999999999997,5.950000000000002,6.219999999999999,-26.0,336.0,-21,163,-0.4905487804878049,0.8252366446321009
lose,3.3,2.3999999999999995,-3.3299999999999983,-4.780000000000001,-2.0499999999999967,-3.219999999999999,11.0,-166.0,6,-138,0.2499688473520249,-0.22300881952171608
lose,4.8,-10.4,6.129999999999996,5.6400000000000015,7.530000000000001,7.209999999999994,-42.0,203.0,-31,215,1.3893441147889098,1.2134757054298109
draw,2.74,3.29,-6.5,-8.170000000000002,-5.5,-6.219999999999999,3.0,-84.0,12,-196,0.07956633167276184,-0.45595225600034206
lose,3.91,5.36,-7.049999999999998,-7.329999999999997,-6.049999999999998,-5.719999999999999,8.0,-313.0,20,-276,-0.6288490414446186,-0.7665435046385101
lose,3.22,-1.11,0.7800000000000011,0.10999999999999943,0.060000000000002274,-0.5,-15.0,98.0,14,-55,0.007215597298438181,-0.5336000681598841
lose,3.48,2.74,-5.159999999999997,-7.219999999999999,-4.379999999999996,-4.939999999999999,4.0,-68.0,13,-127,-0.001509002629474676,-0.4947761620801131
win,4.24,-3.7,-0.75,-2.4200000000000017,0.8599999999999994,0.09999999999999433,-27.0,153.0,-22,176,-0.2907441651256934,0.8640605507118719
win,3.1,-1.7000000000000002,-1.1200000000000043,-1.4399999999999975,-2.0600000000000023,-5.060000000000001,16.0,-53.0,-17,126,-1.38384981993056,0.6699410203130169
draw,4.12,3.8,-11.400000000000004,-11.72,-11.620000000000005,-12.78,3.0,-41.0,10,-119,-0.7571302951010709,-0.3783044438408001
lose,4.1,6.7200000000000015,-7.679999999999992,-9.689999999999998,-4.840000000000003,-8.599999999999994,10.0,-110.0,42,-306,0.34874645189255704,-1.620669438393472
draw,5.52,-13.67,5.439999999999998,6.5,3.5600000000000023,5.060000000000001,-17.0,292.0,-92,460,1.0639441571871768,3.581733976295842
lose,2.84,-1.0700000000000005,2.3299999999999983,3.61,2.450000000000003,2.3400000000000034,10.0,-278.0,4,-75,1.184007844535568,-0.14536100736217408
win,4.1,-5.32,4.319999999999993,5.0,4.810000000000001,6.439999999999998,-7.0,53.0,-9,174,0.6329623372751664,0.35934977167484894
win,4.14,-6.3900000000000015,6.310000000000002,8.700000000000003,7.0900000000000025,6.790000000000006,-38.0,214.0,-17,198,0.7560809415651455,0.6699410203130169
win,3.48,-3.890000000000001,5.6599999999999975,8.39,4.5,5.560000000000002,-8.0,56.0,-4,95,0.8854334514985498,0.16523024127599392
win,3.79,-5.56,10.560000000000002,11.939999999999998,10.620000000000003,12.120000000000005,-28.0,110.0,-26,201,1.9740214157896856,1.0193561750309559
win,3.34,-0.6499999999999999,-1.3900000000000006,1.0600000000000025,-1.5499999999999972,-0.1599999999999966,-9.0,60.0,-3,69,0.2805800319156317,0.1264063351962229
lose,4.22,-7.670000000000001,11.769999999999996,12.0,10.39,11.730000000000004,-27.0,345.0,-18,163,1.8461046807279784,0.7087649263927879
lose,2.98,-0.6699999999999999,-0.210000000000008,1.2600000000000051,-0.09000000000000341,-0.5900000000000034,6.0,-79.0,-5,39,0.6278039648313442,0.2040541473557649
draw,2.9,0.0900000000000003,-0.210000000000008,1.2600000000000051,-0.09000000000000341,-0.5900000000000034,-4.0,91.0,-2,41,0.6174678587940892,0.08758242911645192
draw,2.94,-0.8300000000000001,-0.210000000000008,1.2600000000000051,-0.09000000000000341,-0.5900000000000034,-6.0,45.0,-1,1,0.5876858867863365,0.04875852303668092
win,6.33,-16.89,14.439999999999998,15.5,11.560000000000002,13.060000000000002,-40.0,411.0,-58,392,1.7234550158091406,2.261721169583628
win,3.36,-4.33,8.439999999999998,8.420000000000002,8.710000000000008,9.14,-21.0,85.0,-25,200,1.4843447994540788,0.980532268951185
draw,2.97,-1.5900000000000003,0.5,1.1700000000000017,0.12000000000000455,0.6200000000000045,-1.0,4.0,-3,65,1.0465060598660172,0.1264063351962229
draw,3.54,-3.8,4.909999999999997,5.969999999999999,5.3599999999999985,5.6599999999999975,-15.0,211.0,-30,238,0.5582467120257502,1.1746517993500398
draw,5.45,-9.81,7.849999999999994,9.909999999999997,6.9099999999999975,8.240000000000009,-44.0,234.0,-30,301,1.1292258282623393,1.1746517993500398
win,5.5,-13.87,21.44,16.5,22.56,24.06,-41.0,149.0,-65,408,0.8698411133335211,2.533488512142025
draw,4.04,-5.37,8.049999999999997,9.5,7.8900000000000015,8.560000000000002,-5.0,113.0,-17,156,1.412732248255478,0.6699410203130169
win,3.74,-4.4300000000000015,8.590000000000002,8.349999999999994,7.939999999999998,8.290000000000006,-8.0,132.0,-19,169,1.7743611116144504,0.7475888324725589
lose,4.74,8.04,-9.459999999999994,-10.420000000000002,-9.579999999999998,-10.42999999999999,53.0,-369.0,37,-353,-1.1393752674368849,-1.4265499079946171
win,5.96,-14.9,17.28,14.28,18.56,15.72,-13.0,122.0,-61,429,1.0042082001128456,2.378192887822941
win,3.09,-0.94,0.75,-1.4599999999999935,1.5100000000000051,2.25,5.0,-165.0,-11,179,-0.4766908250415894,0.4369975838343909
win,7.16,-9.66,11.11,11.72,11.450000000000005,12.439999999999998,-29.0,420.0,-33,359,-0.5701151121605668,1.291123517589353
win,3.12,-0.4700000000000002,3.1700000000000017,3.390000000000001,3.450000000000003,3.0,4.0,-142.0,-1,59,0.19681526758626872,0.04875852303668092
win,3.08,-2.1,5.159999999999997,4.780000000000001,5.810000000000002,7.099999999999994,-8.0,135.0,-8,169,-0.4052189460263815,0.3205258655950779
draw,2.98,-0.7899999999999996,0.8400000000000034,-0.21999999999999886,1.0,0.6599999999999966,10.0,-258.0,6,-63,-1.0897926934499391,-0.22300881952171608
lose,3.12,0.1299999999999999,-0.5499999999999972,0.8400000000000034,-0.5499999999999972,0.5,18.0,-425.0,5,-168,-0.7556677450424218,-0.18418491344194507
win,3.0,-0.14000000000000012,-0.5499999999999972,0.8400000000000034,-0.5499999999999972,0.5,21.0,-479.0,1,-29,-0.7396429058627239,-0.02888928912286108
win,5.87,-10.58,14.78,15.28,12.560000000000002,14.22,-22.0,201.0,-62,414,0.06655574446236634,2.417016793902712
win,4.86,-6.73,12.61,11.78,11.39,12.39,-11.0,107.0,-23,243,0.8227265461735646,0.9028844567916429
lose,3.54,0.3300000000000001,0.6299999999999955,1.0400000000000065,0.9099999999999966,0.06999999999999318,4.0,-255.0,4,-112,-0.5204154022799967,-0.14536100736217408
lose,3.12,-1.7400000000000002,6.3400000000000025,6.0,6.3900000000000015,6.719999999999999,-10.0,170.0,6,-44,-0.5239785419680646,-0.22300881952171608
win,4.61,-7.2200000000000015,5.780000000000001,4.780000000000001,11.060000000000002,6.719999999999999,-17.0,192.0,-35,288,-0.16040637585204687,1.3687713297488948
win,3.89,-4.949999999999998,11.680000000000007,10.180000000000009,11.86,12.22,-2.0,55.0,-14,239,0.5095823400687326,0.5534693020737039
lose,3.08,-2.08,1.3400000000000034,0.9500000000000028,1.1200000000000043,1.2800000000000011,18.0,-351.0,-4,79,-0.14215192764866624,0.16523024127599392
win,3.75,-7.61,8.75,10.099999999999994,8.969999999999997,7.900000000000006,-6.0,58.0,-17,208,0.6021360474592976,0.6699410203130169
win,4.82,-9.94,10.400000000000006,11.040000000000004,11.150000000000004,11.010000000000005,9.0,-112.0,-40,328,-0.04329097453225178,1.5628908601477498
draw,3.5,-5.5600000000000005,11.78,11.379999999999995,12.36,12.920000000000002,-24.0,88.0,-44,394,-0.7541190102414592,1.718186484466834
